N° Ordre;Trav;Nom;Lait 24h;TB;TP;Leucos;Urée
;9183;MAJORETTE;S;;;;
;9580;SAFARI;S;;;;
1;8668;FELLAH;5,7;38;33,9;1 465;160
2;8864;HYACINTHE;T;;;;
3;8913;IGNIAME;7,6;37,9;27,8;357;100
4;8961;ISIS;7,8;39,5;30,7;388;110
5;9002;JOYEUSE;10,2;44,6;31,7;41;130
6;9020;;12,9;31,6;28,2;676;100
7;9048;LUTECE;6,1;32,1;31;1 410;50
8;9064;LAFONTAINE;8,3;33,1;29,8;249;160
9;9093;LAZURE;8,1;42,5;34,6;1 651;130
10;9117;LAMBADA;10,8;39;30,2;1 468;150
11;9120;LAROUSSE;8,5;40,9;34;167;140
12;9140;MAGNOLIA;12,6;36,6;26,9;17;160
13;9141;MALAGA;6,6;32,4;24,8;23;150
14;9175;MAMBA;13,1;32,2;24;26;130
15;9193;MOKA;16,4;39,4;31,9;115;130
16;9199;MIRTILLE;8,2;41;30,9;64;170
17;9217;METIS;9,1;38,2;31,2;457;130
18;9222;MARGUERITE;TT;;;;
19;9235;NAIROBIE;T;;;;
20;9251;NIRVANA;6,3;42,7;35,8;105;160
21;9255;NIAOULIE;7,9;29,1;25,5;15;140
22;9259;NEBULEUSE;9,6;40,1;30,3;24;140
23;9267;NAMI;12;33,9;26,7;979;110
24;9270;NECTARINE;14,2;37,7;28,7;124;160
25;9291;OLYMPIE;7,9;34,3;27,5;88;150
26;9293;OGRESSE;7,5;42,3;28,8;43;140
27;9313;OMELETTE;4,9;34,1;29,6;140;150
28;9318;ORIGINE;11,4;24,7;25,9;50;120
29;9326;ORGE;11,6;39,1;29,5;228;140
30;9335;OXYGENE;FV;;;;
31;9344;PAQUERETTE;9,9;38,8;26,4;46;140
32;9347;PANACEE;11;35,2;25,4;36;190
33;9367;PAELLA;10,3;36,8;27,8;109;180
34;9372;PISTACHE;10,4;30,2;24,3;1 390;150
35;9376;PACIFIQUE;12,1;35,7;27,3;77;170
36;9379;PAILLE;11,8;33,6;26,6;74;180
37;9387;PAISIBLE;16,5;33,4;28,8;185;180
38;9388;POLYNESIE;9,3;32,1;23;98;140
39;9391;PENELOPE;11,8;35;29,2;323;130
40;9398;PISSENLIE;5,9;29,7;25,9;46;190
41;9399;PYGMEE;9,2;37,2;28,2;26;140
42;9404;PASSIFLORE;10,5;37;30,6;39;170
43;9406;PIVOINE;10,5;42,6;36,2;86;210
44;9408;PATATA;9,2;37,8;31,2;46;150
45;9411;PAPAYE;9,3;27,7;22,1;56;120
46;9413;PADAWANE;13,8;36,1;27,9;55;150
47;9415;RAINETTE;10,8;29,9;24,6;908;180
48;9419;ROXANE;11,3;40,2;29,5;31;260
49;9427;ROBUSTA;9,5;27,9;24,7;107;160
50;9432;RAPIDE;10;33,5;29;142;180
51;9435;RHUBARBE;6,2;36,7;28,7;91;190
52;9438;REGION;8;34,1;29,2;85;200
53;9447;RAVIGOTE;8,9;32,9;25,1;53;150
54;9448;RAMETTE;12,6;37,9;31;32;170
55;9449;RUTABAGA;T;;;;
56;9460;RADJAH;9,5;35,1;25,7;56;170
57;9462;RIVIERE;9,2;32,2;24,4;364;200
58;9464;ROQUETTE;T;;;;
59;9473;RICOCHETTE;8,8;33,7;28,7;152;190
60;9480;RATOMA;6;37,9;31,2;155;150
61;9498;REVEILLONE;10,3;35,7;28,2;25;240
62;9504;SIDOINE;10,5;26,9;26,9;55;170
63;9509;SOLSTICE;9,1;29,5;22;82;170
64;9511;SINCERE;11;32,6;23,5;45;160
65;9517;SUPREME;11,7;29,9;24,7;21;110
66;9529;SOLUBLE;17,1;37,7;30,1;111;150
67;9530;;6,7;31,8;28,9;53;170
68;9531;;8,9;38;28,8;38;140
69;9533;SUBLIME;8;29,4;24,1;59;170
70;9534;SOUVERAINE;11,8;40;28,9;56;230
71;9537;SATURNE;TFV;;;;
72;9585;SUCRINE;6,2;35,6;32,7;163;170
73;9593;TULIPE;6,3;40;30,3;92;180
74;9603;THOUERIS;6,2;36,2;30,8;148;160
75;9604;TOPAZE;6,2;41,1;31,5;161;270
76;9610;TAHITI;3,3;41;29,4;95;200
77;9612;TISANE;4,2;40,1;32,8;287;240
78;9613;TITANE;7,5;37,9;29,7;173;210
79;9620;TRUFFE;6,8;33,8;28,6;82;180
80;9631;TANZANIE;8,9;35,9;26,7;60;150
81;9638;TIJUANA;5,7;NA;NA;;0
82;9639;TARATATA;8,7;37,2;26,1;63;200
83;9641;TREFLE;6,1;39;27,8;131;200
84;9667;TEMERAIRE;NC;;;;
85;9671;TOUCANA;5,4;40,9;26,4;151;170
86;9677;TAGADA;10;45,9;27,2;890;200
87;9682;UTOPIA;9,7;49,4;28,7;666;210
88;9685;ULTRA;FV;;;;
89;9694;URANUS;12,1;35,8;25,3;57;210
90;9696;URAEUS;9,4;36,3;24,8;72;190
91;9700;UPA UPA;NC;;;;
92;9714;USOPPA;11,3;51,1;29,6;40;270
93;9734;URE;NC;;;;
